Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Monday,1/20/2014,2014,1,6,3.34,3.3,11.9,18,2,12,3,65,59,49.31,45.97,58.9,55.6,330.95,319.05,115,97,87,85,66,54,73.8,70.8
Tuesday,1/21/2014,2014,1,2,3.34,4,42,15,2,0,1,59,57,45.97,42.63,55.6,51.6,319.05,277.05,97,82,85,83,54,54,70.8,69.8
Wednesday,1/22/2014,2014,1,7,3,7,18.1,10,0,5,2,57,50,42.63,39.63,51.6,44.6,277.05,258.95,82,72,83,83,54,49,69.8,67.8
Thursday,1/23/2014,2014,1,4,4.67,5.2,26.2,2,3,1,3,50,46,39.63,34.96,44.6,39.4,258.95,232.75,72,70,83,80,49,48,67.8,64.8
Friday,1/24/2014,2014,1,4.67,7.34,7,19.6,13,1,0,0,46,41.33,34.96,27.62,39.4,32.4,232.75,213.15,70,57,80,79,48,48,64.8,64.8
Saturday,1/25/2014,2014,1,6,9,5,37.8,18,0,5,1,41.33,35.33,27.62,18.62,32.4,27.4,213.15,175.35,57,39,79,79,48,43,64.8,63.8
Sunday,1/26/2014,2014,1,4.33,1.68,0,24,4,0,0,0,85.33,81,65.62,63.94,27.4,27.4,411.35,387.35,175,171,79,79,43,43,63.8,63.8
Monday,1/27/2014,2014,1,4.34,4.67,1.2,23.6,17,2,1,3,81,76.66,63.94,59.27,27.4,26.2,387.35,363.75,171,154,79,77,43,42,63.8,60.8
Tuesday,1/28/2014,2014,1,6,3.34,2.8,13.38,22,5,1,5,76.66,70.66,59.27,55.93,26.2,23.4,363.75,350.37,154,132,77,72,42,41,60.8,55.8
Wednesday,1/29/2014,2014,1,5.33,4,2,14,10,1,1,2,70.66,65.33,55.93,51.93,23.4,21.4,350.37,336.37,132,122,72,71,41,40,55.8,53.8
Thursday,1/30/2014,2014,1,3.02,1.34,2.4,25.5,7,1,3,2,65.33,62.31,51.93,50.59,21.4,19,336.37,310.87,122,115,71,70,40,37,53.8,51.8
Friday,1/31/2014,2014,1,1,2.68,7.1,26.9,9,0,1,0,62.31,61.31,50.59,47.91,19,11.9,310.87,283.97,115,106,70,70,37,36,51.8,51.8
Saturday,2/1/2014,2014,2,4.33,4.32,5,43,13,1,14,0,61.31,56.98,47.91,43.59,11.9,6.9,283.97,240.97,106,93,70,69,36,22,51.8,51.8
Sunday,2/2/2014,2014,2,7,3,0.2,13.5,6,2,8,0,56.98,49.98,43.59,40.59,62.9,62.7,570.97,557.47,219,213,69,67,92,84,51.8,51.8
Monday,2/3/2014,2014,2,5,1,8.5,32.4,16,1,1,0,49.98,44.98,40.59,39.59,62.7,54.2,557.47,525.07,213,197,67,66,84,83,51.8,51.8
Tuesday,2/4/2014,2014,2,1.33,3,7,30.6,8,1,17,2,44.98,43.65,39.59,36.59,54.2,47.2,525.07,494.47,197,189,66,65,83,66,51.8,49.8
Wednesday,2/5/2014,2014,2,3,4.02,6.2,32.4,15,1,1,1,43.65,40.65,36.59,32.57,47.2,41,494.47,462.07,189,174,65,64,66,65,49.8,48.8
Thursday,2/6/2014,2014,2,3.33,6.68,3.5,41.4,17,2,5,2,40.65,37.32,32.57,25.89,41,37.5,462.07,420.67,174,157,64,62,65,60,48.8,46.8
Friday,2/7/2014,2014,2,2.66,8.67,11.7,21.4,19,1,0,0,37.32,34.66,25.89,17.22,37.5,25.8,420.67,399.27,157,138,62,61,60,60,46.8,46.8
Saturday,2/8/2014,2014,2,3.33,3.35,14.4,37.1,13,1,1,1,34.66,31.33,17.22,13.87,25.8,11.4,399.27,362.17,138,125,61,60,60,59,46.8,45.8
Sunday,2/9/2014,2014,2,4,3,2,31.5,10,0,6,0,88.33,84.33,69.87,66.87,114.4,112.4,808.17,776.67,125,115,60,60,59,53,45.8,45.8
Monday,2/10/2014,2014,2,5,10.33,8.5,40.1,20,3,3,1,84.33,79.33,66.87,56.54,112.4,103.9,776.67,736.57,115,95,60,57,53,50,45.8,44.8
Tuesday,2/11/2014,2014,2,10,6.99,13.3,44.6,20,2,6,2.2,79.33,69.33,56.54,49.55,103.9,90.6,736.57,691.97,95,75,57,55,50,44,44.8,42.6
Wednesday,2/12/2014,2014,2,9,1.67,9.1,73.6,9,0,5,0,69.33,60.33,49.55,47.88,90.6,81.5,691.97,618.37,75,66,55,55,44,39,42.6,42.6
Thursday,2/13/2014,2014,2,4.33,3.67,10,49.1,13,3,0,1,60.33,56,47.88,44.21,81.5,71.5,618.37,569.27,66,53,55,52,39,39,42.6,41.6
Friday,2/14/2014,2014,2,4,4.01,3.2,42.3,13,4,0,6,56,52,44.21,40.2,71.5,68.3,569.27,526.97,53,40,52,48,39,39,41.6,35.6
Saturday,2/15/2014,2014,2,1,2.34,2,37,9,0,1,5,52,51,40.2,37.86,68.3,66.3,526.97,489.97,40,31,48,48,39,38,35.6,30.6
Sunday,2/16/2014,2014,2,0,1.68,1.2,34,5,2,3,1,51,51,84.86,83.18,66.3,65.1,489.97,455.97,161,156,48,46,95,92,30.6,29.6
Monday,2/17/2014,2014,2,7.34,4,12.7,27,13,1,7,0,51,43.66,83.18,79.18,65.1,52.4,455.97,428.97,156,143,46,45,92,85,29.6,29.6
Tuesday,2/18/2014,2014,2,7.34,7.36,6.1,45,14,0,13,5,43.66,36.32,79.18,71.82,52.4,46.3,428.97,383.97,143,129,45,45,85,72,29.6,24.6
Wednesday,2/19/2014,2014,2,3.33,5.02,5.5,66.8,17,1,6,1,36.32,32.99,71.82,66.8,46.3,40.8,383.97,317.17,129,112,45,44,72,66,24.6,23.6
Thursday,2/20/2014,2014,2,7,7.02,3.2,21.5,16,3,8,1,32.99,25.99,66.8,59.78,40.8,37.6,317.17,295.67,112,96,44,41,66,58,23.6,22.6
Friday,2/21/2014,2014,2,6,4.34,9,25.4,17,0,0,0,25.99,19.99,59.78,55.44,37.6,28.6,295.67,270.27,96,79,41,41,58,58,22.6,22.6
Saturday,2/22/2014,2014,2,7,3.17,5.7,26,12,0,1,0,19.99,12.99,55.44,52.27,28.6,22.9,270.27,244.27,79,67,41,41,58,57,22.6,22.6
Sunday,2/23/2014,2014,2,1,3.34,2,21,10,0,0,0,63.99,62.99,52.27,48.93,79.9,77.9,544.27,523.27,170,160,41,41,57,57,22.6,22.6
Monday,2/24/2014,2014,2,7,4.68,5.5,26.5,4,0,0,3,62.99,55.99,48.93,44.25,77.9,72.4,523.27,496.77,160,156,41,41,57,57,22.6,19.6
Tuesday,2/25/2014,2014,2,5,1.68,11.2,34.5,13,0,0,2,55.99,50.99,44.25,42.57,72.4,61.2,496.77,462.27,156,143,41,41,57,57,19.6,17.6
Wednesday,2/26/2014,2014,2,5,4.01,1,34,5,0,12,1,50.99,45.99,42.57,38.56,61.2,60.2,462.27,428.27,143,138,41,41,57,45,17.6,16.6
Thursday,2/27/2014,2014,2,3,6.34,4,33.2,8,1,2,1,45.99,42.99,38.56,32.22,60.2,56.2,428.27,395.07,138,130,41,40,45,43,16.6,15.6
Friday,2/28/2014,2014,2,7,7.36,5.3,37,12,1,2,0,42.99,35.99,32.22,24.86,56.2,50.9,395.07,358.07,130,118,40,39,43,41,15.6,15.6
Saturday,3/1/2014,2014,3,6.34,3.68,11.355,50.7,8,0,0,2.1,35.99,29.65,24.86,21.18,50.9,39.545,358.07,307.37,118,110,39,39,41,41,15.6,13.5
Sunday,3/2/2014,2014,3,3.34,1,2,6.6,2,0,0,1,77.65,74.31,59.18,58.18,39.545,37.545,307.37,300.77,110,108,39,39,41,41,13.5,12.5
Monday,3/3/2014,2014,3,4,3.68,1.6,22.1,1,2,0,2.2,74.31,70.31,58.18,54.5,37.545,35.945,300.77,278.67,108,107,39,37,41,41,12.5,10.3
Tuesday,3/4/2014,2014,3,5.34,7.02,7.2,47.275,9,0,5,4,70.31,64.97,54.5,47.48,35.945,28.745,278.67,231.395,107,98,37,37,41,36,10.3,6.3
Wednesday,3/5/2014,2014,3,3.34,1,3,25,4,0,1,0,64.97,61.63,47.48,46.48,28.745,25.745,231.395,206.395,98,94,37,37,36,35,6.3,6.3
Thursday,3/6/2014,2014,3,3,2,5.5,44.1,17,1,5,1,61.63,58.63,46.48,44.48,25.745,20.245,206.395,162.295,94,77,37,36,35,30,6.3,5.3
Friday,3/7/2014,2014,3,4,4.34,9.5,25,3,1,0,2,58.63,54.63,44.48,40.14,20.245,10.745,162.295,137.295,77,74,36,35,30,30,5.3,3.3
Saturday,3/8/2014,2014,3,4.34,3.07,1,27.6,11,0,0,0,54.63,50.29,40.14,37.07,10.745,9.745,137.295,109.695,74,63,35,35,30,30,3.3,3.3
Sunday,3/9/2014,2014,3,1,0,4,11.3,3,0,5,0,50.29,49.29,37.07,37.07,64.745,60.745,373.695,362.395,171,168,35,35,81,76,22.3,22.3
Monday,3/10/2014,2014,3,6.68,5.35,3.8,47,11,0,0,2,49.29,42.61,37.07,31.72,60.745,56.945,362.395,315.395,168,157,35,35,76,76,22.3,20.3
Tuesday,3/11/2014,2014,3,6,5.7,7,30.4,12,1,1,5,42.61,36.61,31.72,26.02,56.945,49.945,315.395,284.995,157,145,35,34,76,75,20.3,15.3
Wednesday,3/12/2014,2014,3,6.34,2.68,6.5,19.6,22,3,2,2,36.61,30.27,26.02,23.34,49.945,43.445,284.995,265.395,145,123,34,31,75,73,15.3,13.3
Thursday,3/13/2014,2014,3,2.31,4.36,5.3,15.5,10,0,26,2,30.27,27.96,23.34,18.98,43.445,38.145,265.395,249.895,123,113,31,31,73,47,13.3,11.3
Friday,3/14/2014,2014,3,4.34,1.68,1.2,16,11,0,1,2,27.96,23.62,18.98,17.3,38.145,36.945,249.895,233.895,113,102,31,31,47,46,11.3,9.3
Saturday,3/15/2014,2014,3,4,2,11,23.3,18,1,6,2,23.62,19.62,17.3,15.3,36.945,25.945,233.895,210.595,102,84,31,30,46,40,9.3,7.3
Sunday,3/16/2014,2014,3,2.68,2,1.4,13,6,0,0,4,71.62,68.94,47.3,45.3,71.945,70.545,464.595,451.595,84,78,30,30,40,40,35.3,31.3
Monday,3/17/2014,2014,3,8.68,3.34,7,37,6,1,0,1,68.94,60.26,45.3,41.96,70.545,63.545,451.595,414.595,78,72,30,29,40,40,31.3,30.3
Tuesday,3/18/2014,2014,3,8,4,5,20.1,9,0,0,4,60.26,52.26,41.96,37.96,63.545,58.545,414.595,394.495,72,63,29,29,40,40,30.3,26.3
Wednesday,3/19/2014,2014,3,4,3.02,4,21.8,2,0,0,2,52.26,48.26,37.96,34.94,58.545,54.545,394.495,372.695,63,61,29,29,40,40,26.3,24.3
Thursday,3/20/2014,2014,3,3,5.34,1.6,38.2,5,0,7,4.2,48.26,45.26,34.94,29.6,54.545,52.945,372.695,334.495,61,56,29,29,40,33,24.3,20.1
Friday,3/21/2014,2014,3,6,3.68,4.5,40,4,0,2,1,45.26,39.26,29.6,25.92,52.945,48.445,334.495,294.495,56,52,29,29,33,31,20.1,19.1
Saturday,3/22/2014,2014,3,3.34,2.34,0,26.3,10,2,18,8.4,39.26,35.92,25.92,23.58,48.445,48.445,294.495,268.195,52,42,29,27,31,13,19.1,10.7
Sunday,3/23/2014,2014,3,6.34,2,4,19.4,0,1,0,3,82.92,76.58,23.58,21.58,48.445,44.445,268.195,248.795,103,103,27,26,59,59,42.7,39.7
Monday,3/24/2014,2014,3,5.68,1,4,23.6,7,0,6,3.5,76.58,70.9,21.58,20.58,44.445,40.445,248.795,225.195,103,96,26,26,59,53,39.7,36.2
Tuesday,3/25/2014,2014,3,4,1.34,9,38.6,7,0,1,1,70.9,66.9,20.58,19.24,40.445,31.445,225.195,186.595,96,89,26,26,53,52,36.2,35.2
Wednesday,3/26/2014,2014,3,2.34,3.99,9,6.7,7,3,3,0,66.9,64.56,19.24,15.25,31.445,22.445,186.595,179.895,89,82,26,23,52,49,35.2,35.2
Thursday,3/27/2014,2014,3,4,0.33,2,20.7,6,1,1,5,64.56,60.56,15.25,14.92,22.445,20.445,179.895,159.195,82,76,23,22,49,48,35.2,30.2
Friday,3/28/2014,2014,3,2.67,2,8,11,3,0,9,5,60.56,57.89,14.92,12.92,20.445,12.445,159.195,148.195,76,73,22,22,48,39,30.2,25.2
Saturday,3/29/2014,2014,3,4,6.33,4.2,24,8,2,9,3,57.89,53.89,12.92,6.59,12.445,8.245,148.195,124.195,73,65,22,20,39,30,25.2,22.2
Sunday,3/30/2014,2014,3,3,2.34,0,12,4,0,0,7,53.89,50.89,36.59,34.25,59.245,59.245,322.195,310.195,65,61,20,20,78,78,65.2,58.2
Monday,3/31/2014,2014,3,5.34,2.34,4,15.4,6,1,4,6,50.89,45.55,34.25,31.91,59.245,55.245,310.195,294.795,61,55,20,19,78,74,58.2,52.2
Tuesday,4/1/2014,2014,4,4.34,1.34,6.5,27.5,5,3,3,1,45.55,41.21,31.91,30.57,55.245,48.745,294.795,267.295,55,50,19,16,74,71,52.2,51.2
Wednesday,4/2/2014,2014,4,2,4.68,8.9,23,1,0,7,3,41.21,39.21,30.57,25.89,48.745,39.845,267.295,244.295,50,49,16,16,71,64,51.2,48.2
Thursday,4/3/2014,2014,4,1,1.34,3,19.2,4,0,0,4,39.21,38.21,25.89,24.55,39.845,36.845,244.295,225.095,49,45,16,16,64,64,48.2,44.2
Friday,4/4/2014,2014,4,3,3.67,3,24,9,3,8,2,38.21,35.21,24.55,20.88,36.845,33.845,225.095,201.095,45,36,16,13,64,56,44.2,42.2
Saturday,4/5/2014,2014,4,2,7.68,10,25.6,5,0,5,3,35.21,33.21,20.88,13.2,33.845,23.845,201.095,175.495,36,31,13,13,56,51,42.2,39.2
Sunday,4/6/2014,2014,4,2,1,1,19,1,0,0,1,73.21,71.21,48.2,47.2,23.845,22.845,407.495,388.495,86,85,13,13,51,51,39.2,38.2
Monday,4/7/2014,2014,4,6.34,6,6.5,31.5,4,0,0,1,71.21,64.87,47.2,41.2,22.845,16.345,388.495,356.995,85,81,13,13,51,51,38.2,37.2
Tuesday,4/8/2014,2014,4,4.34,2.34,1.7,19,6,1,0,4.7,64.87,60.53,41.2,38.86,16.345,14.645,356.995,337.995,81,75,13,12,51,51,37.2,32.5
Wednesday,4/9/2014,2014,4,6,1.02,1,18,2,1,2,2.6,60.53,54.53,38.86,37.84,14.645,13.645,337.995,319.995,75,73,12,11,51,49,32.5,29.9
Thursday,4/10/2014,2014,4,3.33,1.68,1,18,10,0,4,4,54.53,51.2,37.84,36.16,13.645,12.645,319.995,301.995,73,63,11,11,49,45,29.9,25.9
Friday,4/11/2014,2014,4,6,4,3,25,2,2,0,2,51.2,45.2,36.16,32.16,12.645,9.645,301.995,276.995,63,61,11,9,45,45,25.9,23.9
Saturday,4/12/2014,2014,4,7.02,3.34,6,23.5,15,0,11,4,45.2,38.18,32.16,28.82,9.645,3.645,276.995,253.495,61,46,9,9,45,34,23.9,19.9
Sunday,4/13/2014,2014,4,3,2,2,6,3,0,5,2,38.18,35.18,28.82,26.82,54.645,52.645,253.495,247.495,139,136,9,9,89,84,46.9,44.9
Monday,4/14/2014,2014,4,1.34,4.68,5.35,28.28,10,0,5,5,35.18,33.84,26.82,22.14,52.645,47.295,247.495,219.215,136,126,9,9,84,79,44.9,39.9
Tuesday,4/15/2014,2014,4,4.34,3,6.4,18.7,12,0,10,1,33.84,29.5,22.14,19.14,47.295,40.895,219.215,200.515,126,114,9,9,79,69,39.9,38.9
Wednesday,4/16/2014,2014,4,2,1.01,4.2,25.62,1,0,6,4,29.5,27.5,19.14,18.13,40.895,36.695,200.515,174.895,114,113,9,9,69,63,38.9,34.9
Thursday,4/17/2014,2014,4,5.34,0.34,7.2,16,19,0,0,0,27.5,22.16,18.13,17.79,36.695,29.495,174.895,158.895,113,94,9,9,63,63,34.9,34.9
Friday,4/18/2014,2014,4,7,7,8,23.3,10,1,0,5,22.16,15.16,17.79,10.79,29.495,21.495,158.895,135.595,94,84,9,8,63,63,34.9,29.9
Saturday,4/19/2014,2014,4,7.34,3.35,4,22.3,7,0,3,5,15.16,7.82,10.79,7.44,21.495,17.495,135.595,113.295,84,77,8,8,63,60,29.9,24.9
Sunday,4/20/2014,2014,4,0,0,0,0,0,0,0,0,51.82,51.82,42.44,42.44,49.495,49.495,326.295,326.295,77,77,8,8,60,60,24.9,24.9
Monday,4/21/2014,2014,4,1.34,1.68,2.1,13.5,8,0,0,1,51.82,50.48,42.44,40.76,49.495,47.395,326.295,312.795,77,69,8,8,60,60,24.9,23.9
Tuesday,4/22/2014,2014,4,5.34,7.165,3.3,32,8,1,0,1,50.48,45.14,40.76,33.595,47.395,44.095,312.795,280.795,69,61,8,7,60,60,23.9,22.9
Wednesday,4/23/2014,2014,4,6.34,2.34,3,24.9,8,1,2,1,45.14,38.8,33.595,31.255,44.095,41.095,280.795,255.895,61,53,7,6,60,58,22.9,21.9
Thursday,4/24/2014,2014,4,2,2,1.1,26,6,0,6,2,38.8,36.8,31.255,29.255,41.095,39.995,255.895,229.895,53,47,6,6,58,52,21.9,19.9
Friday,4/25/2014,2014,4,3,2.02,5,24.9,10,1,1,3,36.8,33.8,29.255,27.235,39.995,34.995,229.895,204.995,47,37,6,5,52,51,19.9,16.9
Saturday,4/26/2014,2014,4,4.34,2.67,5.5,35,12,1,6,4,33.8,29.46,27.235,24.565,34.995,29.495,204.995,169.995,37,25,5,4,51,45,16.9,12.9
Sunday,4/27/2014,2014,4,4,2.34,2,26.2,2,0,1,1,29.46,25.46,24.565,22.225,69.495,67.495,451.995,425.795,98,96,11,11,45,44,33.9,32.9
Monday,4/28/2014,2014,4,1.34,3.09,3,29.1,8,2,0,2,25.46,24.12,22.225,19.135,67.495,64.495,425.795,396.695,96,88,11,9,44,44,32.9,30.9
Tuesday,4/29/2014,2014,4,3.33,4.02,4.4,30.3,6,1,5,0.4,24.12,20.79,19.135,15.115,64.495,60.095,396.695,366.395,88,82,9,8,44,39,30.9,30.5
Wednesday,4/30/2014,2014,4,4.34,2.68,7,43.1,11,0,7,4,20.79,16.45,15.115,12.435,60.095,53.095,366.395,323.295,82,71,8,8,39,32,30.5,26.5
Thursday,5/1/2014,2014,5,0,0,0,0,0,0,0,0,16.45,16.45,12.435,12.435,53.095,53.095,323.295,323.295,71,71,8,8,32,32,26.5,26.5
Friday,5/2/2014,2014,5,7.34,7.34,6.3,39.5,16,1,12,2,16.45,9.11,12.435,5.095,53.095,46.795,323.295,283.795,71,55,8,7,32,20,26.5,24.5
Saturday,5/3/2014,2014,5,4,3,2,14.6,5,2,0,2.5,9.11,5.11,5.095,2.095,46.795,44.795,283.795,269.195,55,50,7,5,20,20,24.5,22
Sunday,5/4/2014,2014,5,1.67,4.69,1.2,20,3,0,0,3,48.11,46.44,52.095,47.405,44.795,43.595,269.195,249.195,138,135,18,18,56,56,70,67
Monday,5/5/2014,2014,5,3,5.785,5,20,7,0,3,4,46.44,43.44,47.405,41.62,43.595,38.595,249.195,229.195,135,128,18,18,56,53,67,63
Tuesday,5/6/2014,2014,5,7.34,4.36,4,22,10,2,6,5,43.44,36.1,41.62,37.26,38.595,34.595,229.195,207.195,128,118,18,16,53,47,63,58
Wednesday,5/7/2014,2014,5,3.33,6.32,3,16.8,8,1,3,11,36.1,32.77,37.26,30.94,34.595,31.595,207.195,190.395,118,110,16,15,47,44,58,47
Thursday,5/8/2014,2014,5,2,2.34,3.4,20.4,10,3,0,5,32.77,30.77,30.94,28.6,31.595,28.195,190.395,169.995,110,100,15,12,44,44,47,42
Friday,5/9/2014,2014,5,2,5,4.2,16,12,2,1,2,30.77,28.77,28.6,23.6,28.195,23.995,169.995,153.995,100,88,12,10,44,43,42,40
Saturday,5/10/2014,2014,5,5,6,9,39.4,15,3,1,5,28.77,23.77,23.6,17.6,23.995,14.995,153.995,114.595,88,73,10,7,43,42,40,35
Sunday,5/11/2014,2014,5,2,2.68,1,17,7,0,1,4,23.77,21.77,52.6,49.92,71.995,70.995,354.595,337.595,73,66,7,7,93,92,35,31
Monday,5/12/2014,2014,5,4.34,3.34,9,12,8,0,5,2,21.77,17.43,49.92,46.58,70.995,61.995,337.595,325.595,66,58,7,7,92,87,31,29
Tuesday,5/13/2014,2014,5,3.68,0.34,6.2,32,7,0,25,7.5,17.43,13.75,46.58,46.24,61.995,55.795,325.595,293.595,58,51,7,7,87,62,29,21.5
Wednesday,5/14/2014,2014,5,1,4.02,6,24.3,4,0,0,3,13.75,12.75,46.24,42.22,55.795,49.795,293.595,269.295,51,47,7,7,62,62,21.5,18.5
Thursday,5/15/2014,2014,5,2.34,2.02,3,19.3,7,0,1,2,12.75,10.41,42.22,40.2,49.795,46.795,269.295,249.995,47,40,7,7,62,61,18.5,16.5
Friday,5/16/2014,2014,5,5.34,7,3,22,10,1,11,1,10.41,5.07,40.2,33.2,46.795,43.795,249.995,227.995,40,30,7,6,61,50,16.5,15.5
Saturday,5/17/2014,2014,5,2.34,7.68,3,35,14,1,0,2,5.07,2.73,33.2,25.52,43.795,40.795,227.995,192.995,30,16,6,5,50,50,15.5,13.5
Sunday,5/18/2014,2014,5,3.34,2,5,9.4,6,0,0,1,41.73,38.39,68.52,66.52,92.795,87.795,192.995,183.595,104,98,5,5,50,50,48.5,47.5
Monday,5/19/2014,2014,5,8.34,3.84,6.1,12.8,5,0,3,9,38.39,30.05,66.52,62.68,87.795,81.695,183.595,170.795,98,93,5,5,50,47,47.5,38.5
Tuesday,5/20/2014,2014,5,1,2.375,7,27,10,1,0,3.6,30.05,29.05,62.68,60.305,81.695,74.695,170.795,143.795,93,83,5,4,47,47,38.5,34.9
Wednesday,5/21/2014,2014,5,2,4.68,9.5,15.4,6,1,0,3,29.05,27.05,60.305,55.625,74.695,65.195,143.795,128.395,83,77,4,3,47,47,34.9,31.9
Thursday,5/22/2014,2014,5,3.68,1.33,1.2,8,8,0,2,4,27.05,23.37,55.625,54.295,65.195,63.995,128.395,120.395,77,69,3,3,47,45,31.9,27.9
Friday,5/23/2014,2014,5,5,2.34,3.9,17.5,8,2,10,7,23.37,18.37,54.295,51.955,63.995,60.095,120.395,102.895,69,61,3,1,45,35,27.9,20.9
Saturday,5/24/2014,2014,5,3,4.713,5,28,11,1,0,9,18.37,15.37,51.955,47.242,60.095,55.095,102.895,74.895,61,50,1,0,35,35,20.9,11.9
Sunday,5/25/2014,2014,5,2,3,1,7,8,0,5,1,42.37,40.37,47.242,44.242,55.095,54.095,278.895,271.895,152,144,7,7,35,30,63.9,62.9
Monday,5/26/2014,2014,5,2.68,3.34,7.4,18,7,1,0,5,40.37,37.69,44.242,40.902,54.095,46.695,271.895,253.895,144,137,7,6,30,30,62.9,57.9
Tuesday,5/27/2014,2014,5,0,2.34,5,28.6,12,1,1,6,37.69,37.69,40.902,38.562,46.695,41.695,253.895,225.295,137,125,6,5,30,29,57.9,51.9
Wednesday,5/28/2014,2014,5,1.34,5.02,1.4,10.28,9,0,2,5.1,37.69,36.35,38.562,33.542,41.695,40.295,225.295,215.015,125,116,5,5,29,27,51.9,46.8
Thursday,5/29/2014,2014,5,4,5.34,6.3,27,13,0,0,2,36.35,32.35,33.542,28.202,40.295,33.995,215.015,188.015,116,103,5,5,27,27,46.8,44.8
Friday,5/30/2014,2014,5,3.02,2.02,2,21.5,14,0,0,5,32.35,29.33,28.202,26.182,33.995,31.995,188.015,166.515,103,89,5,5,27,27,44.8,39.8
Saturday,5/31/2014,2014,5,5.67,3.34,2,28,10,0,15,2,29.33,23.66,26.182,22.842,31.995,29.995,166.515,138.515,89,79,5,5,27,12,39.8,37.8
Sunday,6/1/2014,2014,6,1,0.68,1,10,4,1,1,3,23.66,22.66,54.842,54.162,67.995,66.995,367.515,357.515,79,75,14,13,45,44,37.8,34.8
Monday,6/2/2014,2014,6,4,4.34,10,23.3,16,3,0,3,22.66,18.66,54.162,49.822,66.995,56.995,357.515,334.215,75,59,13,10,44,44,34.8,31.8
